id,question,correctanswer,answera,answerb,answerc,answerd
100558,in human body digestion proteins takes place primarily which two organs?,b,mouth stomach,stomach small intestine,liver gall bladder,pancreas large intestine
100559,which action most often causes sinkholes form on surface earth?,a,removing groundwater,meteor impacts,plates colliding,mechanical weathering
100560,scientists who disagree with results an experiment should,d,change experiment.,keep opinions themselves.,find out what other scientists think about results.,repeat experiment several times compare results.
100561,as meteor falls gets closer earth it encounters resistance force. which must occur so that meteor overcomes resistance force?,c,the sum forces acting on meteor needs zero.,the forces acting on meteor must same direction.,the force gravity needs greater than resistance force.,the resistance force must greater than force being applied meteor.
100562,jeremiah was investigating different aspects sound waves. he listened two sounds. sound 1 had lower pitch than sound 2. based on this information how was sound wave 1 different from sound wave 2?,d,sound wave 1 had slower speed than sound wave 2.,sound wave 1 had smaller amplitude than sound wave 2.,sound wave 1 had shorter wavelength than sound wave 2.,sound wave 1 had lower frequency than sound wave 2.
100563,which best example community responding an external factor?,a,plants animals thrive on forest floor after fall white pine causes an opening canopy.,many species raptors fly alongside each other during autumn migration warmer climates.,elephants use tusks dig salt needed diets from wall cave.,adult musk oxen herd surround young protect them from wolves.
100564,the respiratory system cannot deliver oxygen cells body nor can it remove carbon dioxide without which two body systems?,d,muscular nervous,digestive muscular,cardiovascular nervous,cardiovascular muscular
100565,a heterotroph that feeds only on plants (n) __________.,a,herbivore,carnivore,omnivore,detritivore
100566,the incompleteness fossil record results primarily from which phenomenon?,d, frequency irregular timing organism speciations, metamorphosis most sedimentary rock by heat pressure, geologically rapid cycling crust material back into mantle, rarity with which organic remains are exposed fossil-forming conditions
100567,scientists believe that early history runaway greenhouse effect on venus lead its __________.,d,thinning atmosphere,decreasing volcanic activity,cooling atmosphere,evaporating oceans
100568,visible light part __________.,b,rainbow,electromagnetic spectrum,retina,gamma rays
100569,who was first person base system classification on organisms having similar structures?,d,aristotle,darwin,einstein,linnaeus
100570,katelyn has heard that adrenaline ( hormone released during times great excitement) can actually give person greater physical strength. she decides perform an experiment measuring this idea. she recruits 20 weightlifters has them bench press as much as they can records this value. two days later ( allow them adequately rest) she has 10 weightlifters bungee jump off tall bridge stimulate adrenaline. immediately after jump she has subjects repeat bench press test records her data. the other 10 weightlifters repeat bench press without jumping off bridge. she records data as well compares her results. which these independent variable this experiment?,b, amount weightlifters can bench press after jumping,whether weightlifters bungee jump off bridge, amount weightlifters can bench press before jumping, number weightlifters group
100571,which these will reduce gravitational force between two objects most?,d,halving distance between them,doubling distance between them,halving distance between them doubling mass,doubling distance between them halving mass
100572,terrence notices that rockets that he launching fly at 27.9 meters per second at 78 degrees elevation northwest before they start fall. which these quantities best shows what terrence describing?,b,acceleration,velocity,momentum,force
100573,scientists are concerned about presence heavy metals like lead mercury environment because,a,heavy metals threaten some forms life.,heavy metals will increase available resources.,exposure heavy metals causes healthy mutations.,mining heavy metals causes environmental stability.
100574,when studying planetary data jackie found some similarities differences among planets that make up solar system. which generalization true about orbits major planets solar system?,b,planetary orbits have same plane.,planetary orbits are mostly elliptical shape.,planets orbit at same speed around sun.,planets orbit different directions around sun.
100575,what particle always has mass one atomic mass unit (amu) no charge?,a, neutron, proton,an electron,an atom
100576,after cell splits through process mitosis _________ cells are result.,c,zero,four,two,eight
100577,three different types cone cells process color information human eye. one type causes humans see red one causes humans see green one causes humans see blue. which cone cell types are activated when someone sees color yellow?,b,cones that perceive green,cones that perceive red green,cones that perceive red blue,all three cone types
100578,which following would not cause change velocity?,b,the bus driver stops at railroad tracks but then continues same direction,the bus driver sees green light up ahead so he does not have slow down he continues same direction,the bus driver has make right turn he needs slow down do it,the bus driver at fork road he has go left slightly but he able maintain constant speed
100579,the two primary processes involved cycling carbon are photosynthesis __________.,d,evaporation,decomposition,circulation,respiration
100580,nonspecific defenses against disease include barrier skin inflammation response. these defenses are called nonspecific because they __________.,d,are ineffective against specific pathogens,change response depending on invader's antigens,release several different kinds immune cells,do not target antigens with antibodies
100581,which following by-product cellular respiration animals?,b,oxygen,heat,sugar,protein
100582,most stars are similar each other ,b,brightness.,composition.,diameter.,temperature.
100583,cleveland ohio farther south than london england but london has warmer average temperatures. which statement best explains why london has warmer temperatures than cleveland?,d,the cold air above gulf stream gets blown toward cleveland.,the warm air above labrador current gets blown toward england.,the labrador current cools air above it cool air gets blown toward cleveland.,the gulf stream heats air above it warm air gets blown towards shores england.
100584,volcanoes that are due hotspot activity volcanoes that are due subduction are both formed,b,at plate boundaries.,by tectonic plate movements.,at mid-ocean spreading centers.,by magma with low viscosity.
100585,betelgeuse supergiant red star. it found constellation orion. across constellation bright star rigel blue supergiant. which these units measurement would most appropriate measuring distance between these two huge stars?,d,nautical miles,degrees minutes latitude,astronomical units,light years
100586,all these statements concerning galaxies are accurate except,b,they contain millions stars.,most can seen without telescope.,they are millions light-years apart.,space contains several billion galaxies.
100587,bioenergy comes from plants plant products. nevada only produces small amounts bioenergy because,a, climate limits agricultural growth.,there limited technology this type resource.,renewable energy sources cause too much pollution.,solar power provides most energy region.
100588,in order rope anchor boat place rope must exert force,a,equal force exerted by water current opposite direction.,equal force exerted by water current same direction.,greater than force exerted by water current opposite direction.,greater than force exerted by water current same direction.
100589,which environmental stimulus causes leaves on certain trees change color autumn?,c,loss nutrients forest soil,lower air humidity forest,changes amount light,competition survival
100590,if an object traveling suddenly changes speed direction then object must have been acted upon by __________.,c,decelerating forces,accelerating forces,unbalanced forces,balanced forces
100591,katia was listening music on radio. in order sound produced electrical energy must converted into which type energy?,d,thermal energy,magnetic energy,chemical energy,mechanical energy
100592,how does repeating an experiment improve likelihood obtaining accurate results?,a,data can compared.,time can decreased.,equipment can added.,procedures can changed.
100593,which following statements about galaxies false?,a,all galaxies are same shape.,all galaxies are held together by gravity.,there are billions galaxies universe.,there are billions stars each galaxy.
100594,hiv usually but not always leads aids. what major difference between hiv aids?,a,hiv virus that affects immune system; aids describes deficient immune system.,hiv virus that affects immune system; aids bacterium that affects immune system.,hiv virus that affects immune system; aids virus that affects whole body.,hiv disease that can cured; aids disease that has no known cure.
100595,over millions years __________ break down organisms into fossil fuels which contain carbon molecules. these carbon molecules are then used photosynthesis by __________ make oxygen living organisms.,a,decomposers producers,decomposers consumers,producers consumers,consumers producers
100596,new combinations alleles may formed (n) __________ via male female gamete fusion.,b,egg,zygote,sperm,clone
100597,which biological activity occurs repeated rhythm?,c,sneezing,coughing,breathing,blinking
100598,to calculate density an apple one must know __________ __________ apple.,b,height volume,mass volume,mass weight,height weight
100599,pedro shook can soda. when soda was opened foam soda burst from can. which statement best explains what happened?,b,a new substance was formed.,the gas pressure was released from can.,the sugar soda turned into gas.,the can absorbed heat from air.
100600,which best explains why air temperatures near mountaintops are often much colder than air temperatures near sea level?,b,large amounts snowfall decrease temperature.,air near mountaintops less dense.,strong winds near mountaintops decrease temperatures.,the lack vegetation at sea level allows ground absorb more heat.
100601,mice rabbits bobcats squirrels all live brush ecosystem. which animal would have most difficult time surviving if population other three animals continued decrease?,c,mouse,squirrel,bobcat,rabbit
100602,victor trying find density an unknown liquid. what other measurement must he find if he knows that he has 42 grams liquid?,d, liquid's mass liters, liquid's volume grams, liquid's mass cubic centimeters, liquid's volume milliliters
100603,a group students taking hike along stream channel. one student picks up rock from stream notices that rock very smooth round. which type weathering most likely shaped rock?,a,abrasion,exfoliation,fracturing,oxidation
100604,which statement about stars not accurate?,a,a small group stars called galaxy.,stars consist mainly hydrogen helium.,types stars include red giants super giants dwarf stars.,constellations stars are found different places sky.
100605,which following true about how light travels?,c,light travels straight line as it passes through two different objects.,light absorbed once it hits air.,light travels straight line once it leaves its light source.,light travels many directions until it reflected.
100606,certain fossils can used help determine age rock layer which fossils are found. which type fossil best use when making this determination?,d,marine mammal fossil,swamp fern fossil,trace fossil,index fossil
100607,what benefit regulation gene expression?,b,conservation genetic information,conservation cell resources,trait adaptation environmental change,trait inheritance offspring
100608,scientific concepts found experiments investigations may communicated form __________.,d,well-developed hypotheses,written reports only,oral presentations only,written reports oral presentations
100609,the gravitational force sun strong enough hold all planets our solar system orbit many millions miles away. which best describes why objects having far less mass on surface these planets are not pulled off into sun?,d,the objects have too little mass affected by sun.,the objects have more mass on planets than on sun.,the objects are held by greater combined gravity all planets.,the objects are more strongly affected by gravity planet on which they are found.
100610,joanne wants investigate factors that affect different patterns flight bees. which step scientific method must she follow before forming hypothesis?,d,record data numbers bees,measure distances bee flights,draw conclusion about when bees fly,gather information about flight patterns
100611,which following heat exchange processes involves collision particles?,b,insulation,conduction,convection,radiation
100612,which change resulted from heating planets as they formed?,c,their masses increased.,they lost most radioactive isotopes.,their structures differentiated into distinct layers.,they started revolve around sun.
100613,an egg that has been fertilized through process sexual reproduction will contain genetic information from,d, mother's sex cells only., father's sex cells only.,neither mother's nor father's sex cells.,both mother's father's sex cells.
100614,after playing outside on cold day jaime went inside wash his hands. although water was normal temperature he noticed that it felt warmer than usual. what would explain this phenomenon?,c,his body had more kinetic energy than water.,heat flowed from cooler substance warmer substance.,the water from faucet had higher temperature than his skin.,the thermal energy room was higher than thermal energy outside.
100615,paleontologists have found hundreds fossils tropical plants cool dry areas north america. which most likely indicated by fossil discoveries like these?,c,glacial movement carried fossils different places.,some tropical plants can grow moderate climates.,the climate different areas on earth has changed over time.,ancient people carried plants with them as they traveled new locations.
100616,scientific journals that specialize clinical medicine publish results research studies that have been conducted by doctors around world. after professionals medical community read research results what will next step before research globally accepted?,d,doctors around world will begin perform new medical techniques.,different research teams will conduct research test different variables.,doctors will distribute questionnaires those who have read research.,different doctors will repeat same research see if results are valid.
100617,increased nutrient levels lakes can cause ecological changes that result death many fish. at what point hydrological cycle are most nutrients deposited into lakes?,a,runoff,evaporation,precipitation,transpiration
100618,which two systems are involved when waste water are removed from blood as it flows through kidneys?,d,respiratory circulatory,digestive respiratory,digestive urinary,urinary circulatory
100619,two identical plants are planted 3 meters apart. one plant flowering but other not. a student concludes that plants are receiving an unequal supply water. another possible explanation other plant not flowering that plants are,b,too close one another.,receiving different amounts sunlight., soil with high humus content.,receiving different amounts carbon dioxide.
100620,in what type rock would geologist most likely find evidence ancient life?,a,sedimentary,foliated,metamorphic,volcanic
100621,an agricultural scientist evaluating how much milk cows produce based on grazing time water consumption food supplements. which variable dependent (responding) variable this investigation?,b,the amount food supplements fed per day each cow.,the amount milk produced per day by each cow.,the amount water ingested by each cow.,the amount grazing time by each cow.
100622,the muscular system relies on contributions from three major tissue types; smooth cardiac skeletal muscle. which muscle tissues contributes voluntary muscle control skeletal system?,a,skeletal muscle,smooth muscle,cardiac muscle,smooth cardiac muscle
100623,in early 1800s light-colored moths could found resting on light-colored trees england. at beginning industrial revolution trees began turn dark because black soot from factories. by 1898 most moths found england were dark color. which most likely enabled dark-colored moths survive reproduce more than light-colored moths?,d,dark-colored moths were covered by pollution were no longer threatened by predators.,dark-colored moths were able convert soot chemical that was toxic predators.,dark-colored moths were faster than light-colored moths therefore able escape predators.,dark-colored moths were able blend into dark background were not easily detected by predators.
100624,noah studied different systems human body. which best describes function veins circulatory system?,a,carrying blood from body heart,supplying nutrients from intestines body,carrying carbon dioxide from body lungs,passing waste materials from blood outside body
100625,new technology some countries focuses on medical procedures space exploration. in other countries new technology focuses on preventing disease feeding an increasing population. which statement best explains why countries focus on different types new technology?,b,technological advances are not effective some populations.,needs attitudes influence technological development.,medical advances are not important some countries.,technology inexpensive developing countries.
100626,isabel goes jogging two miles on sunny afternoon. at end her run she warmer. as isabel jogs which function does skin perform help stabilize her body temperature?,d,her skin exchanges oxygen carbon dioxide.,her skin produces red blood cells.,her skin releases hormones.,her skin discharges water.
100627,a student learning about how carbon exists various forms as it moves different parts carbon cycle reads following sentence.atmospheric carbon most important threat health biosphere.in which way carbon threat biosphere?,c,carbon dioxide atmosphere serves as carrier diseases.,carbon atoms bond with water vapor create acidic precipitation.,carbon dioxide gas can effectively trap heat atmosphere.,carbon compounds can cause genetic damage when burned fuel.
100628,an unbalanced force acting upon moving object at an angle affects object's,a,speed direction.,speed only.,direction only.,opposing force.
100629,since california located on plate boundary which following would good source an alternative form energy?,c,nuclear,solar,geothermal,wind
100630,in milky way galaxy there are __________.,d,many planets but only one star,many stars but only one planet,many stars many galaxies,many stars many planets
100631,the students observed large crack found boulder with tree growing out it. which process were students observing?,c,oxidizing,deposition,weathering,decomposition
100632,a water wave that occurs an ocean an example which type wave?,c,electromagnetic,gravitational,transverse,seismic
100633,global warming affects sea levels. which these likely consequence if trend global warming continues coming decades?,a,melting glaciers will cause flooding coastal towns cities.,melting glaciers will cause flash flooding mountainous regions.,evaporation will cause formation fjords u-shaped valleys.,evaporation will cause sea levels drop enlarging coastal areas.
100634,a(n) __________ substance made weakened dead incomplete parts pathogens antigens that when given an organism causes an immune response.,d,antibody,lymphocyte,macrophage,vaccine
100635,in 1960s seismometers were installed around world purpose monitoring nuclear testing. the seismometers unexpectedly showed that most world's earthquakes volcanoes occurred belts along continental margins. how did these new data help support theory plate tectonics?,c,by allowing scientists prevent future volcanoes near tectonic plate boundaries,by providing evidence continents have moved extensively over time,by providing evidence interactions between moving tectonic plates,by allowing scientists predict where future earthquakes would occur
100636,__________ process plants use capture sun's energy build carbohydrates that store energy.,d,cellular respiration,fermentation,the citric acid cycle,photosynthesis
100637,which these tectonic plate boundaries most likely form volcano?,d, continental plate colliding with continental plate,an oceanic plate sliding past continental plate, continental plate sliding past continental plate,an oceanic plate colliding into continental plate
100638,in any ecosystem organisms interact with biotic abiotic parts environment. as result all interactions matter within system ,b,produced when plants grow.,recycled when organisms die.,lost when animals plants die.,formed when new animals are born.
100639,which characteristic would most important plant have become pioneer plant on recovering beach?,c,ability grow very large,long roots find water,resistant disturbances,big leaves catch sunlight
100640,what most prominent land feature formed by convergence indo-australian eurasian plates?,d,china,australia,ural mountains,himalaya mountains
100641,large populations tortoises inhabited galapagos islands before humans. when humans settled on islands introduced goats number tortoise declined. what most likely explanation decrease tortoise population?,c,goats consume tortoise hatchlings.,goats pollute water sources.,goats compete with tortoises vegetation.,goats contribute soil erosion.
100642,structural geologists study rock formations determine type environment which rocks formed events that shaped rocks. paleontologists study fossils found rock formations. scientists both these fields have common interest discovering ,a,history processes earth.,elements that make up crust.,types minerals that make up sediments.,relationships between earth other planets.
100643,which type water reservoir contains largest volume fresh water?,c,lakes,rivers,ice sheets,aquifers
100644,the classification some organisms has changed. which new process used reclassify organisms?,b,organisms are now given latin-based scientific names.,structures are now examined at molecular level.,organisms are now divided into three kingdoms.,structures are now used classify organisms.
100645,paper chromatography process used separate mixtures substances into components. the components are carried by mobile phase through stationary phase made absorbent paper. an investigation analyzed sample black ink determine its components.which property allows components separate?,a, solubility components mobile phase, evaporation rate components at certain temperature, magnetic property components, thickness paper used as stationary phase
100646,during process bacterial transformation __________.,b, bacterium loses at least one gene,at least one gene inserted into genome bacterium, bacterium transformed into another species, new bacterium loses all genetic characteristics present before transformation occurred
100647,the visible colors listed from shortest longest wavelength are violet blue green yellow orange red. which following accurately compares frequency these colors using this information?,b,blue has higher frequency than violet.,blue has higher frequency than green.,orange has lower frequency than red.,violet has lower frequency than yellow.
100648,a root emerges from seed because force ,a,water against seed coat.,air pushing on seed.,gravity on seed.,soil pressing on seed.
100649,plants cells contain chloroplasts necessary production __________ from light energy.,b,water,food,carbon dioxide,oxygen
100650,how many times does moon rotate on its axis during lunar month?,a,one,two,three,four
100651,a zygote formed when __________.,d, process meiosis completed, egg formed during meiosis,crossing over occurs during meiosis, sperm fertilizes egg
100652,runoff from nearby farms can deposit excess amounts nutrients into bodies water such as lakes. this abiotic process will most likely cause decrease which aspect lake?,b, depth water, oxygen levels fish, amount minerals water, accumulation organic matter
100653,the north america nebula named its similarity shape north american continent. it was discovered within milky way by astronomer william herschel 1790. what was mr. herschel most likely observing?,d, explosion following collapse star, dense cluster stars varying magnitudes,meteorites as earth passed through tail comet, cloud hydrogen gas dust where stars are born
100654,which following structures flowering plant responsible producing pollen grains that will eventually fertilize ovules?,a,anther,stigma,ovary,stamen
100655,a species bird has not been seen since 1900s considered extinct. which evidence would best disprove claim that bird extinct?,c,a bird watcher makes sketch bird.,a scientist discovers fossil remains bird.,a researcher takes photograph bird.,a park ranger finds suitable habitat bird.
100656,saturn has 60 known moons some which have regular orbits others that have irregular orbits. both regular orbits irregular orbits are held by,c, gravity saturn only., gravity each moon only., gravity each moon gravity saturn., gravity saturn gravity earth.
100657,a disorder associated with certain flaws human respiratory system. which most likely typical symptom this disorder?,b,poor vision,difficulty breathing,reduced muscle mass,increased saliva production
100658,cells are enclosed within __________ membranes that regulate interaction with surroundings.,c,fully permeable,nonpermeable,semipermeable,single layer
100659,mature sperm cells have flagellum that functions __________.,a,propel sperm forward,release energy sperm,store genetic information sperm,produce semen
100660,in order rocks classified as igneous rocks must,c,solidify at surface earth., eroded deposited layers., formed from magma.,change form when pressure applied.
100661,an oceanic plate subducts under continental plate. which these landforms most likely results from interaction these plates?,a,volcanic mountains,transform boundaries,continental shelves,normal faults
100662,mixing baking soda vinegar makes temperature solution decrease release carbon dioxide. which conclusion about this investigation not valid?,c,mixing chemicals caused them absorb heat.,a chemical reaction took place.,new elements were formed.,the procedure caused gas formed.
100663,which characteristic property indicates that igneous rock cools slowly?,d,mineral composition,hardness,density,crystal size
100664,which information used station model?,d,yearly average precipitation,daily average barometric pressure,number lightning strikes,wind direction particular point time
100665,by studying varying wavelengths light universe scientists have been able figure out chemical composition ,a, stars.,many planets.,various moons.,earth.
100666,which sequence lists levels organization human body from simplest most complex?,d,organ system -> tissue -> cell -> organ,tissue -> cell -> organ -> organ system,organ -> organ system -> tissue -> cell,cell -> tissue -> organ -> organ system
100667,antibacterial sprays are often used when cleaning kitchen countertops. if same antibacterial spray used continuously why will some bacteria survive reproduce?,a,bacteria have developed resistance spray.,the spray only prevents bacteria from multiplying.,new species bacteria are formed when spray used.,most sprays are designed kill only one type bacteria.
100668,which best example pure substance?,c,peanuts,milk,gold,air
100669,how can yellow main sequence stars similar both white dwarf stars red giant stars?,c,yellow main sequence stars are frequently same size as either red giant stars white dwarf stars.,yellow main sequence stars can same temperature as red giant stars white dwarf stars.,yellow main sequence stars can potentially have same brightness as red giant white dwarf stars.,yellow main sequence stars do not have any similarities both red giant white dwarf stars.
100670,what process that produces energy sun billions years?,b,fission,fusion,solar winds,solar radiation
100671,when stratospheric ozone levels are reduced amount ultraviolet radiation hitting earth increases. ozone depletion most often caused,b,by reversal magnetic field earth.,when fluorocarbons are released into atmosphere.,when electromagnetic waves from sun increase.,by abrupt changes weather climate patterns.
100672,a group vertebrates has lungs body covered with scales internal fertilization amniotic eggs. which group vertebrates does this describe?,d,amphibians,birds,mammals,reptiles
100673,which following not true about cell wall?,b,it's function help support protect cell.,it present cells animals.,it stiff rigid.,it present plant cells.
100674,what most likely explanation vast number craters on earth's moon?,d, disappearance moon's atmosphere millions years ago,moon floor spreading,plate tectonics volcanic activity,impacts asteroids over billions years
100675,according darwin's theory evolution variations among finches that he observed galapagos islands resulted from,d,transmission acquired characteristics.,use disuse beaks.,natural mutagens.,natural selection.
100676,a widow's peak hairline humans coded by dominant allele w. a straight hairline coded by recessive allele w. a man with homozygous dominant ww produces zygote with woman with heterozygous dominant ww trait. which allele combinations could occur zygote?,b,ww ww,ww ww,ww only,ww only
100677,the florida bog frog (lithobates okaloosae) inhabits shallow stream overflows three counties florida. with such small geographic habitat any change frog's environment could cause drastic changes population. which would most likely affect frog population if acid rain changed ph water?,b,prey insects would become inedible.,tadpoles would unable survive.,breeding sites would become unavailable.,predators would choose another food source.
100678,in 2004 hubble space telescope captured images distant star clusters each containing about million stars. these star clusters were most likely part which structure?,b, black hole, galaxy, nebula, solar system
100679,the human body processes eliminates food waste using organs excretory system. which organelle performs similar function humans at cellular level?,c,mitochondrion,endoplasmic reticulum,lysosome,golgi complex
100680,some water use consumptive. instead returning its source water evaporates from reservoirs transpires from crops. how does this type use most likely affect hydrosphere?,c,by reducing total amount water on earth,by altering paths water through earth system,by shifting water different stages water cycle,by affecting climate way that alters water cycle
100681,which following best describes electrons found an atom?,a,electrons move quickly around nucleus an atom.,electrons combined with protons form nucleus an atom.,electrons are positively charged particles an atom.,electrons are larger than protons neutrons an atom.
100682,a metal ball has constant velocity zero. which other quantity must also zero?,c,weight ball,energy ball,acceleration ball,inertia ball
100683,when calculating distance space planets appear move __________ stars.,b,at same speed as,faster than, different directions than,slower than
100684,which these provides best evidence that earth's crust divided into tectonic plates?,d, distribution water on earth's surface, distribution biomes on earth's surface, distribution rock types on earth's surface, distribution earthquakes on earth's surface
100685,binary stars are two stars that orbit each other one being larger than other. choose best way astronomers have knowing if two stars are binary stars.,a,the brightness binary stars changes regularly.,binary stars are only detectable with radio telescopes.,the planets orbiting binary stars are small rocky.,binary stars have unique spectral line pattern.
100686,which following statements best describes visible light?,c,light an electromagnetic wave single frequency that makes up small part electromagnetic spectrum.,light an electromagnetic wave single frequency that makes up most electromagnetic spectrum.,light includes range electromagnetic waves that make up small part electromagnetic spectrum.,light includes range electromagnetic waves that make up most electromagnetic spectrum.
100687,the enzyme amylase can produced by cells salivary glands but not by cells tongue. this because,b,cells tongue do not contain amylase genes.,cells tongue do not express amylase genes.,dna varies from cell cell based on cell's needs.,cells tongue send amylase salivary gland cells.
100688,in water cycle formation clouds through change water from gas back into liquid known as __________.,b,evaporation,condensation,transpiration,precipitation
100689,which following sentences best describes relative size saturn?,d,saturn much larger than jupiter very small compared sun.,saturn much larger than mercury very small compared uranus.,saturn much larger than earth about same size as venus.,saturn much larger than mars very small compared sun.
100690,a carpenter covered piece wood with thin sheet paper. he struck covered piece wood with hammer. the impact left small hole paper that smelled smoke. which kind energy transfer did this event most likely demonstrate?,b,chemical thermal,mechanical thermal,mechanical chemical,chemical mechanical
100691,in many caves rock formations include stalactites stalagmites. where does rock these formations come from?,c,magma,rainwater,dissolved minerals,decaying organic matter
100692,what process called when an acid base combine produce water salt?,a,neutralization,dilution,titration,physical reaction
100693,as population small fish lake decreases population large fish that depend on small fish food will,c,reproduce faster,begin produce own food,decrease number,increase number
100694,with relation ocean currents gyres are __________.,a,large whirls water within an ocean basin,seamounts submerged on ocean basins,strong gale force winds,another name tsunami
100695,about how often full moon observed from earth's surface?,b,each week,once month,every two weeks,once each leap year
100696,the gravitational force between two planets depends on __________.,a, mass planets distance between them, mass planets direction orbits, mass planets only, distance between planets direction orbits
100697,an atom consists nucleus surrounded by,d,ions.,protons.,neutrons.,electrons.
100698,what term given rising plume mantle that located below hawaii islands?,b,convergent,hot spot,divergent,subduction
100699,the nervous system works together communicate with different parts body with external environment. spinal cord damage can affect whole system because spinal cord __________.,c,controls actions brain peripheral nerves, most important organ nervous system,mediates communication from brain rest body, primarily involved communication with external environment
100700,the speed sound generally greatest ,b,solids lowest liquids.,solids lowest gases.,gases lowest liquids.,gases lowest solids.
100701,a student concludes that chemical reaction performed classroom investigation was exothermic. to communicate validity this conclusion which would make best visual evidence presentation?,d,photographs reactants products,listing masses reactants products,listing time from start finish reaction,photograph flame produced when chemicals reacted
100702,a viral infection that causes death significant number individuals population an example __________.,a,an environmental factor,genetic variation,evolution,diversity
100703,in addition oxygen which gases make up largest percentage earth's atmosphere?,c,hydrogen helium water vapor,hydrogen methane ozone,carbon dioxide water vapor nitrogen,carbon dioxide methane helium
100704,if light were travel through flat glass __________.,b,it will bend,it will continue straight line,it will bounce off glass,it will enlarge an image
100705,which statement best describes natural variations amount ozone found stratosphere earth's atmosphere?,d,changes tilt earth's axis cause variations ozone layer.,changes that result from el niño events cause variations ozone layer.,variations ozone layer match changing location magnetic north pole.,variations ozone layer follow pattern that matches variations within solar cycle.
100706,which these describes an important event protein metabolism that allows body maintain homeostasis?,c,the kidneys filter out lipid soluble toxins.,the pancreas releases lipase break down toxins.,the liver converts ammonia urea that excreted through kidneys.,the hydrochloric acid stomach reacts with food remove harmful chemicals.
100707,the islands mid-pacific ocean region were formed by,d,land subsidence.,deposition from currents.,wind water erosion.,volcanic activity.
100708,in rock cycle weathering erosion begin process formation ,a,sediments.,magma.,minerals.,crystals.
100709,when using more than recommended amounts pesticide on farmland yards gardens what most likely occur?,c,higher levels pesticide may less effective.,the pesticides may break down quickly.,water supplies can contaminated by pesticide runoff.,the pesticide will increase plant production.
100710,cells come two basic types prokaryotic eukaryotic. which cell structure found both prokaryotic eukaryotic cells?,d,vacuole,nucleoid,mitochondrion,cytoplasm
100711,the human body made up organ systems that work together as one unit. which systems work together prepare distribute food cells?,a,digestive circulatory,digestive endocrine,nervous respiratory,nervous excretory
100712,humus an organic material that makes up soil. which characteristic best indicates that soil has high humus content?,a, color sample, mass sample, amount clay sample, amount rock sample
100713,what season northern hemisphere experiencing when it tilted directly toward sun?,d,fall,winter,spring,summer
100714,people may remove fallen trees from forests reduce fire risk. removing trees now thought have an impact on health forest. which impact would removing fallen trees from forests most likely have on forest health?,c,increased risk forest fire,increased food sources forest fungi,decreased soil fertility by preventing nutrient recycling,decreased forest vegetation by increasing sunlight penetration
100715,the skin serves as barrier protection against disease-causing microorganisms known as _________.,a,pathogens,antibodies,histamines,antigens
100716,recently many parents have decided not vaccinate children with common childhood vaccines. because this decision health officials expect see (n),a,increase occurrence infectious diseases children.,decrease occurrence infectious diseases children.,increase occurrence autism children.,decrease occurrence autism children.
100717,which following pieces evidence gives most support idea that life has existed on this planet more than 3 billion years?,c, 4.48 billion year old meteorite found antarctica,similar fossils found south america western africa,simple life forms found rocks dated 3 billion years old, 3 billion year old igneous rock sample found canada
100718,which situation would most likely result scientists revising theory?,d,reevaluating information that was published by well-known scientists,performing experiments that are cost-effective,conducting surveys on whether scientists agree with published data,continuing research using advanced technology
100719,the great ocean conveyer ocean current system runs north through atlantic from equatorial region. if this current got disrupted north american european climates would become,b,rainier.,colder.,windier.,more humid.
100720,people who work science have responsibility ethical. which example best shows person science failing maintain ethical standards?,b,a meteorologist forecasted sunny day but there were rain showers instead.,a researcher changed his data so his results would better support his hypothesis.,an archaeologist discovered new evidence that made her past conclusions invalid.,a doctor prescribed treatment patient but patient's health had not improved.
100721,the assumption that geological processes are same today as throughout earth's long past has allowed scientists create theories about earth's past. what this idea known as?,a,uniformitarianism,superposition,inclusion,succession
100722,which situation an example feedback system body that maintains homeostasis?,d, mouse pushing lever release food, dog going food bowl when bell rings,students receiving star stickers good behavior, brain signaling blood vessels return normal
100723,hookworms live inside intestines dogs. as dog eats hookworms consume partially digested food. as result this nutrient diversion dog can become malnourished weakened. which best describes relationship between hookworms dog?,a, parasitic relationship, mutualistic relationship, predator-prey relationship, producer-consumer relationship
100724,helium departed from atmosphere early earth's history. which mechanism caused this departure?,b,helium was attracted by gas giants that were much closer earth's orbit at time.,solar heating allowed helium escape earth's gravity move into space.,biological reactions stored most helium earth's early life-forms.,chemical reactions trapped most helium earth's crust.
100725,the nervous system responsible sensing responding internal external stimuli however sensations responses don't become conscious individual until they are processed __________.,c,motor neuron,sensory neuron,brain,interneuron
100726,a student divides several cubes into two groups based on whether not each cube can float later. what property student using classify cubes?,b,weight,density,conductivity,mass
100727,why it important have large sample size an investigation?,b, able compare results, increase validity data, form best conclusion, ensure procedure followed
100728,in order species evade extinction mutations that produce adaptive traits must __________.,c,occur somatic cells,occur all individuals, passed offspring,increase species' size
100729,which part dna molecule represents encoded information?,c,phosphate,sugar,guanine,hydrogen bond
100730,a factory japan had been dumping mercury into minamata bay. certain microorganisms water were able change mercury into form that plankton could use. which most likely happened next?,b,the organisms built up resistance mercury.,the mercury passed through food chain.,the plankton made mercury safe.,the fish would not eat plankton.
100731,which following least likely affect climate?,c,elevation,latitude,longitude,topography
100732,earthquakes most often happen along __________ faults.,d,new,small,large,existing
100733,which could possible way prevent wildlife species from becoming endangered?,b,drinking less water,establishing more habitats,cutting down more forests,stopping underground coal mining
